ep,utility,switch_penalty,rebuffering_penalty,no_switch,rebuffering_time,total_reward
2,139.3,68.8,86.25000000000055,29,17.25000000000011,-15.75000000000054
3,134.8,75.5,74.25000000000038,33,14.850000000000076,-14.950000000000372
4,138.7,60.1,75.75000000000041,27,15.15000000000008,2.849999999999582
5,134.1,69.3,106.00000000000082,31,21.200000000000166,-41.20000000000083
6,137.5,65.5,63.750000000000234,28,12.750000000000046,8.249999999999766
7,138.7,60.1,72.75000000000037,27,14.550000000000072,5.849999999999625
8,135.2,61.9,82.7500000000005,28,16.5500000000001,-9.450000000000514
9,140.6,63.2,83.25000000000051,29,16.6500000000001,-5.85000000000052
10,141.0,60.1,87.25000000000057,27,17.450000000000113,-6.350000000000563
11,135.2,66.5,82.0000000000005,30,16.400000000000098,-13.300000000000509
12,132.9,74.7,74.00000000000038,32,14.800000000000075,-15.80000000000038
13,141.0,62.4,79.25000000000045,28,15.85000000000009,-0.6500000000004604
14,134.8,75.5,90.00000000000061,33,18.00000000000012,-30.7000000000006
15,139.3,66.5,59.25000000000017,28,11.850000000000033,13.54999999999984
16,139.4,68.6,75.2500000000004,30,15.050000000000079,-4.4500000000003865
17,132.5,80.1,76.25000000000041,35,15.250000000000082,-23.850000000000406
18,139.8,67.8,87.25000000000057,29,17.450000000000113,-15.250000000000554
19,132.9,71.1,86.50000000000055,32,17.30000000000011,-24.700000000000543
20,133.3,72.6,90.50000000000061,32,18.100000000000122,-29.800000000000594
21,133.3,72.6,98.25000000000072,32,19.650000000000144,-37.55000000000071
22,138.3,67.8,97.0000000000007,31,19.40000000000014,-26.500000000000682
23,133.3,65.7,79.75000000000045,29,15.950000000000092,-12.150000000000446
24,137.1,68.6,75.75000000000041,30,15.15000000000008,-7.250000000000412
25,138.3,60.9,88.75000000000058,28,17.750000000000117,-11.350000000000577
26,138.9,67.3,80.00000000000047,29,16.000000000000092,-8.40000000000046
27,140.6,63.2,83.75000000000051,29,16.750000000000103,-6.35000000000052
28,138.7,67.0,83.50000000000051,30,16.700000000000102,-11.800000000000523
29,138.7,67.0,91.75000000000063,30,18.350000000000126,-20.050000000000637
30,134.4,68.7,67.75000000000028,30,13.550000000000058,-2.0500000000002814
31,136.4,67.0,82.5000000000005,30,16.5000000000001,-13.100000000000492
32,139.4,68.6,72.75000000000037,30,14.550000000000072,-1.9500000000003581
33,135.2,71.1,43.49999999999994,31,8.699999999999989,20.60000000000005
34,137.0,71.1,69.75000000000033,30,13.950000000000063,-3.850000000000321
35,136.0,70.1,93.75000000000065,32,18.75000000000013,-27.850000000000648
36,128.8,79.3,33.99999999999992,35,6.799999999999984,15.500000000000092
37,129.5,73.9,75.2500000000004,33,15.050000000000079,-19.650000000000404
38,139.8,60.9,99.50000000000074,26,19.900000000000148,-20.600000000000733
39,140.5,63.4,82.0000000000005,28,16.400000000000098,-4.900000000000503
40,141.0,62.4,78.75000000000045,28,15.750000000000089,-0.15000000000046043
41,137.5,68.8,78.75000000000045,31,15.750000000000089,-10.050000000000452
42,137.1,68.6,75.5000000000004,30,15.10000000000008,-7.000000000000398
43,132.9,74.7,65.00000000000024,32,13.00000000000005,-6.800000000000239
44,137.8,68.8,90.75000000000061,31,18.150000000000123,-21.750000000000597
45,131.3,77.9,80.25000000000047,34,16.050000000000093,-26.850000000000463
46,138.9,65.0,89.2500000000006,28,17.85000000000012,-15.350000000000591
47,135.2,66.5,72.00000000000036,30,14.40000000000007,-3.3000000000003666
48,137.1,68.6,59.00000000000016,30,11.800000000000033,9.499999999999837
49,139.4,68.6,79.50000000000045,30,15.900000000000091,-8.700000000000443
50,137.8,66.5,80.75000000000047,30,16.150000000000095,-9.450000000000458
51,130.6,79.3,66.25000000000026,34,13.250000000000053,-14.950000000000259
52,137.5,66.5,76.75000000000043,30,15.350000000000083,-5.750000000000426
53,138.3,60.1,72.00000000000036,27,14.40000000000007,6.199999999999662
54,138.3,63.2,75.2500000000004,29,15.050000000000079,-0.15000000000038938
